state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
AR,1966,2333595,739,56,,,,,,,,
AS,1966,0,,,,,,,,,,
AZ,1966,1711697,1802,325,,,,,,,,
CA,1966,19971470,26621,7007,,,,,,,,
CO,1966,2146796,1826,284,,,,,,,,
CT,1966,3085011,3513,207,,,,,,,,
CZ,1966,43600,0,0,,,,,,,,
DC,1966,808000,0,0,,,,,,,,
DE,1966,526455,311,38,,,,,,,,
FL,1966,6665398,6503,1691,,,,,,,,
FS,1966,0,,,,,,,,,,
GA,1966,4940048,2348,257,,,,,,,,
GM,1966,65600,,,,,,,,,,
HI,1966,719083,1246,152,,,,,,,,
IA,1966,3049462,1872,312,,,,,,,,
ID,1966,747613,569,79,,,,,,,,
IL,1966,11628957,15990,2207,,,,,,,,
IN,1966,5437822,4295,450,,,,,,,,
KS,1966,2331964,1987,336,,,,,,,,
KY,1966,3694764,1645,219,,,,,,,,
LA,1966,3975518,1813,313,,,,,,,,
MA,1966,5555397,8522,496,,,,,,,,
MD,1966,3855951,2007,271,,,,,,,,
ME,1966,1111979,601,51,,,,,,,,
MI,1966,8751004,10065,1189,,,,,,,,
MN,1966,3833162,3114,290,,,,,,,,
MO,1966,4980006,4860,1124,,,,,,,,
MP,1966,0,,,,,,,,,,
MS,1966,2718781,838,123,,,,,,,,
MT,1966,842488,564,81,,,,,,,,
NB,1966,1642133,1105,164,,,,,,,,
NC,1966,5325574,3077,260,,,,,,,,
ND,1966,723415,412,37,,,,,,,,
NH,1966,730519,448,21,,,,,,,,
NJ,1966,7329085,10362,858,,,,,,,,
NM,1966,1333677,845,166,,,,,,,,
NV,1966,473847,840,185,,,,,,,,
NY,1966,19289853,40724,3134,,,,,,,,
OH,1966,11536938,9737,1274,,,,,,,,
OK,1966,2911469,1725,183,,,,,,,,
OR,1966,2049960,2069,368,,,,,,,,
OT,1966,0,,,,,,,,,,
PA,1966,12243426,13722,1238,,,,,,,,
PR,1966,2657000,0,0,,,,,,,,
RI,1966,972885,1272,122,,,,,,,,
SC,1966,3153000,1114,121,,,,,,,,
SD,1966,802510,362,53,,,,,,,,
TN,1966,4452359,2459,468,,,,,,,,
TX,1966,11757899,9170,1498,,,,,,,,
UT,1966,1218915,707,158,,,,,,,,
VA,1966,4927030,3464,427,,,,,,,,
VI,1966,0,,,,,,,,,,
VT,1966,439382,155,16,,,,,,,,
WA,1966,3189271,2935,378,,,,,,,,
WI,1966,4454095,5353,420,,,,,,,,
WV,1966,1899825,495,49,,,,,,,,
WY,1966,358351,282,74,,,,,,,,
AK,1967,272000,150,44,,,,,,,,
AL,1967,4214652,2148,400,,,,,,,,
AR,1967,2254651,828,95,,,,,,,,
AS,1967,0,,,,,,,,,,
AZ,1967,1794788,1931,375,,,,,,,,
CA,1967,19872414,26958,7055,,,,,,,,
CO,1967,2149781,2190,327,,,,,,,,
CT,1967,3101100,3863,262,,,,,,,,
CZ,1967,43600,0,0,,,,,,,,
DC,1967,809000,2726,347,,,,,,,,
DE,1967,796792,330,45,,,,,,,,
FL,1967,6582773,7645,1844,,,,,,,,
FS,1967,0,,,,,,,,,,
GA,1967,5234964,2675,276,,,,,,,,
GM,1967,65600,,,,,,,,,,
HI,1967,744571,1350,199,,,,,,,,
IA,1967,2999944,1843,328,,,,,,,,
ID,1967,812189,596,88,,,,,,,,
IL,1967,11741672,16866,2350,,,,,,,,
IN,1967,5401744,4290,464,,,,,,,,
KS,1967,2416777,2105,447,,,,,,,,
KY,1967,3592890,1774,261,,,,,,,,
LA,1967,4338291,3063,458,,,,,,,,
MA,1967,5674005,9369,553,,,,,,,,
MD,1967,3841742,5674,786,,,,,,,,
ME,1967,1080435,621,58,,,,,,,,
MI,1967,8745446,10446,1276,,,,,,,,
MN,1967,3748697,3258,287,,,,,,,,
MO,1967,5043751,5156,1207,,,,,,,,
MP,1967,0,,,,,,,,,,
MS,1967,2590228,892,142,,,,,,,,
MT,1967,771793,653,118,,,,,,,,
NB,1967,1596701,1215,215,,,,,,,,
NC,1967,5631321,3396,345,,,,,,,,
ND,1967,693268,452,45,,,,,,,,
NH,1967,709699,478,31,,,,,,,,
NJ,1967,7488499,10245,1026,,,,,,,,
NM,1967,1161778,889,217,,,,,,,,
NV,1967,451394,902,211,,,,,,,,
NY,1967,19630805,38480,3930,,,,,,,,
OH,1967,11254055,10428,1421,,,,,,,,
OK,1967,2854702,2143,256,,,,,,,,
OR,1967,2308433,2232,387,,,,,,,,
OT,1967,0,,,,,,,,,,
PA,1967,12315404,14071,1321,,,,,,,,
PR,1967,2697000,0,0,,,,,,,,
RI,1967,943867,1167,126,,,,,,,,
SC,1967,3000648,1243,145,,,,,,,,
SD,1967,794255,456,69,,,,,,,,
TN,1967,4645027,2968,529,,,,,,,,
TX,1967,11919126,9000,1573,,,,,,,,
UT,1967,1190349,726,171,,,,,,,,
VA,1967,5003147,3714,477,,,,,,,,
VI,1967,0,,,,,,,,,,
VT,1967,480630,160,19,,,,,,,,
WA,1967,3503829,3088,384,,,,,,,,
WI,1967,4450931,5404,407,,,,,,,,
WV,1967,1976522,611,63,,,,,,,,
WY,1967,337406,313,98,,,,,,,,
AK,1968,277000,150,41,,,,,,,,
AL,1968,4362519,1795,248,,,,,,,,
AR,1968,2400364,907,87,,,,,,,,
AS,1968,0,,,,,,,,,,
AZ,1968,1757001,2308,398,,,,,,,,
CA,1968,20296765,23515,5944,,,,,,,,
CO,1968,2179445,2402,327,,,,,,,,
CT,1968,3094500,3803,267,,,,,,,,
CZ,1968,55600,0,0,,,,,,,,
DC,1968,809000,3220,460,,,,,,,,
DE,1968,806075,353,33,,,,,,,,
